text,label,notes
New leaf ✨ Thai creme brulee. Love her one singular fenestration 😂,Before/After - Progress Pics,
Update: finalmente la pasé a tierra 🌱,Before/After - Progress Pics,
"Tradeskancia collection repotting. I bought 10 varied tradeskancia cuttings on internet in May (I got extra). Rooted them in sphagnum for three weeks (timed by arrival of pots). Then left them alone except for treating some for possible spider mites and cutting some of longer trellis and sticking them right back to pot. Today bigger pots finally arrived and I dived into repotting. Most were root bound and had roots under pots.

First photo is as they arrived, second is weeks repotting, third is today. The rest are photos during process and soil mix before actually mixing it.",Before/After - Progress Pics,
"Managed to resuscitate my Cape Sundew. Had the audacity of giving this fussy sod some filtered tapwater once, it responded with a healthy dose of drama. Luckily, healthy and happy now (and catching flies in my flat).",Before/After - Progress Pics,
"December 2023 versus now. The sad, stretchy kalanchoe is now flanking the sago palm (Palmela Anderson). Not pictured, the very happy Boston fern (Fernadette), three orchids, and two amaryllis.",Before/After - Progress Pics,
This was such a fun journey! A little over a year of growth of my Monstera albo. Got it as a wedding present from my dear friend and fellow plant lover. She really is a love child!,Before/After - Progress Pics,
"Cat yanked out my limifolia. I just wanna share how I found out this H. limifolia I got had already started rooting well in just a couple of months in my care. I know they take a long time to root especially in my climate since I'm in a humid, hot and tropical one. I put it back and hope it stabilizes soon :)",Before/After - Progress Pics,
Repotted my 4-year-old inch plant. Any tips/ things I'm doing wrong are greatly appreciated!!!,Before/After - Progress Pics,
"My juvenile aloe vera is a young mama of 4 pups! LOL! 😂 This is the juvenile edible aloe vera, aka aloe barbadensis miller.",Before/After - Progress Pics,
"From stake to trail. May be time for another trim, but she’s always happy ☺️",Before/After - Progress Pics,
"It's happening again!! For context: I bought a Peperomia metallica crème at a garden center. When I went to repot it, imagine — its substrate was completely soaked, it was falling apart on its own.

I put it in a suitable substrate but its leaves kept falling off, deteriorating... then a few days later, under my grow light, little green shoots appeared! It's just magical and unexpected. I thought it was going to be the first plant to die on me this year :').

The second photo corresponds to when it arrived home, before it almost died. Just noting that I have several other Peperomia doing very well.",Before/After - Progress Pics,Translated from French
update on my previous post. thanks to your advice she is finally unwinding and holy shit these leaves are going to be BIG! i’ve been misting them a couple times daily and then last night there was an audible noise when the two separated. i am overjoyed that my beauty will now have THREE NEW LEAVES HEHEHEHE!,Before/After - Progress Pics,
One year later! I rescued this sad leaf last summer. Now it is doing pretty well!,Before/After - Progress Pics,
"How it Started vs How it’s Going. Spoiler, the baby alocasia didn’t make it.

Came back from a visit to Eden Project with something easier on my mental health",Before/After - Progress Pics,
"Admiring Bella’s Growth 🪴. One of my favorite views in the morning. Bella arrived September 2023 with 3 tiny leaves, I almost un-alived her on the first re-pot but look at her now September 2026!! Surviving & thriving!! Isn’t she lovely 🤩🌱🌱",Before/After - Progress Pics,
6-Month Glow-Up: From a Sad Pot of Twigs to a Beautiful Lady,Before/After - Progress Pics,
"My baby~ turned 8 this year~. my zz plant was given to me as a bday present, i knew nothing about it, just cared for it based on how it reacted originally this was june 2025 it was having issues sooo i finally decided it was time to repot....",Before/After - Progress Pics,
"Turtle vine experiment ☀️. Back in March, I planted three identical turtle vine cuttings to see how they’d handle different lighting: indoor north window vs. north balcony vs. south balcony.

The results are pretty wild!
Which one do you think looks best?

(Bonus photo at the end to see how tiny they all looked back in March!)",Before/After - Progress Pics,
New plants. Some of my new plants,Before/After - Progress Pics,
She was begging for a bigger pot!,Before/After - Progress Pics,
"Indoor tree fern - first crozier. Trying a Dicksonia Antarctica in my plant room from a 2ft trunk. I was not expecting much till next spring, but it puts out a frond in 3 weeks, very happy 😊",Before/After - Progress Pics,
"She’s usually in between 2 huge monsteras, but now I finally realised how big she’s getting 😱",Before/After - Progress Pics,
"Tonight’s the night, Queen!",Before/After - Progress Pics,Could be Humor from the title
Figured Y’all Would Appreciate My Thai Con. First image is what it looked like when I first got it. Second and third image were taken 5 minutes ago.,Before/After - Progress Pics,
"Is my plant growing healthy? I love this plant so much and take good care of it, it’s growing in many directions but just want to know its healthy and supposed to 💗
First picture was from June 2025 other pictures September 2026",Before/After - Progress Pics,Could be Discussion from the question
Pallidiflorum update,Before/After - Progress Pics,
"I feel like I cheated. Found this horribly sad Maui Queen at my local supermarket, and decided she'd be my rehab project. Negotiated for $10 off the price with the cashier because of how bad she looked. A little bit of fresh soil and a lot of water later....I guess she was just thirsty 😆 not needing a total rehab after all! I'm very happy she bounced back so quick but man, I feel like I totally cheated getting a gorgeous Calathea for almost half the price!",Before/After - Progress Pics,Could be Humor from the title
"chenille plant progress (4 months of growth). may 3, 2026 to september 16&17, 2026 and i’m so proud of him🥹",Before/After - Progress Pics,
"New to Plants. This week, I decided I have a new obsession with plants. Started this week with two plants, one of which has been suffering for the last few months. This is how this week is ending. Is this a decent setup? What improvements can I make?",Before/After - Progress Pics,
"swiss monstera chop, repot and prop transplant. i was gifted this plant from a coworker and wanted to experiment with it some. it’s my first monstera and i’m excited to learn about them. i was going to get a moss pole extension cos she’s longer than the one she came with (i was temporarily using a repurposed into gardening tool cheese wheel stake for support) but she wasn’t attached to her pole by any arial roots so i downsized pot. had some leggy bits i decided to chop- plant and attach to a cut branch. i did not root them first at all, just went straight to soil. there’s 4 different cuttings in the pot. i took 2 cuttings to hydro prop about a month ago and the one that’s doing best i transplanted today. last 2 photos are the befores.",Before/After - Progress Pics,
"Trimmed ""Change"". Getting ready to move her inside for the season.

The cuttings were donated.",Before/After - Progress Pics,
"It’s happening. Got this ZZ plant clipping in May this year and thought it would never have new growth. Almost threw it out a few time and then this week it started!

The before pic would just be the 4 leaves on the clipping",Before/After - Progress Pics,
My hibiscus’ first bloom!,Before/After - Progress Pics,
"Monstera adansonii - 10 months ago vs last Sunday. I'm proud of this little guy! Still small, but the leaves look so much healthier now. I didn't even realize the color had changed this much until I looked back at the photo I took when I bought it. Recently pruned and repotted, hoping it'll take to the trellis life.",Before/After - Progress Pics,
"My peace lily Bernadette. I've always had a bit of a brown thumb with plants so I've not really had many houseplants. Back in September of 2024 I was gifted a small peace lily and I became determined to keep her alive. I named her Bernadette. I have cats so I took her to work. She did fairly well there. She had a bloom for a while but over time she began to get really yellow leaves and didn't seem to be thriving. I also was not thriving at this job. I had been passed over for a promotion and was feeling pretty down on the whole place. It seemed that Bernadette was mirroring my feelings.

In May I found a new job that I absolutely LOVE and I brought Bernadette along. She is now absolutely thriving! She has four full blooms and a fifth one will soon unfold. I'm so excited about how well she is doing! And that I've managed to keep her alive for two years now. The first pic is November 2025. The second pic is today 17 September 2026.",Before/After - Progress Pics,
Oh he ate that. Rescued this staghorn from a friend 8 months ago. It was part of his grandma’s big stag back in Alabama.,Before/After - Progress Pics,Could be Humor from the title
37 years ago today my parents were gifted this Pothos when I was born. I strongly believe it’s my horcrux—I’ve propagated it hundreds of times and it’s cuttings are living all across the country,Before/After - Progress Pics,
I work at a pet store. And I clean a lot of aquariums. My coworkers are always disgusted by me bringing this home. But my plants love it.,Humor/Fluff,Could be Discussion if looking for opinions
"I might have a problem. Today I cleared out one of my sphagnum moss prop boxes and added all of these (plus two more on moss poles) to my collection. I still have three small mixed prop boxes, a tray of succulents, 25 cuttings in water, 9 fittonias in perlite, and 3 more fittonias planted directly into soil.

I’m someone desperately in need of a local plant swap! Or an intervention…",Humor/Fluff,
Some of my Pals. Hope you liked them less than i do,Humor/Fluff,
"My string of hearts flowered!! I got this plant on discount like two months ago and it only had one pathetic looking stem and like six leaves. I stuck it in my window and checked it every couple of days to water it but other than that left it alone. Yesterday I opened my curtains to find it had a bunch of flowers!!! I have other house plants that I've been tending to for years that have never flowered (looking at you philodendron billietae),so I was quite happy to see this!!",Humor/Fluff,Sounds more like Progress Pics
"My Black Maranta is flowering! I've been battling thrips for the past few months (many thanks to my Lacewing larvae army). They hit my calatheas pretty hard, but most of the plants have recovered. My Black Maranta rewarded me with flowers.",Humor/Fluff,
"Love this corner. Looking at my plant wall makes me so happy! Yes some are struggling, im working on it!",Humor/Fluff,
She's blooming ❤️,Humor/Fluff,
We juuuuuust made it 😅,Humor/Fluff,
"Spring Cleaning In…Fall. I decided to give my smaller plants a bath and thought they looked pretty neat while resting. So, here they are. Not all of them, just some.",Humor/Fluff,
Idk the official rules but I feel like when life offers you a $9 money tree you’re pretty much obligated to buy it? The tag says 4” Peperomia. I had a good lol,Humor/Fluff,Could be Discussion from the question
Excuse me?! Who thought it was a good idea to spit in my plants??,Humor/Fluff,Could be Discussion from the question
"🗣️ Why are you running. Don’t come for me, I bought it planted like this lol",Humor/Fluff,
"Saving Grace. If it wasn't for lovely surprises like this I'd chuck my Pink Polka Dot in the bin because, other than these gorgeous, tiny blooms, it's a pinkpolkadot pain in the bum!",Humor/Fluff,
I’m having dinner with my Monstera friend. Monstera deliciosa ‘Thai Constellation’ says hi,Humor/Fluff,
"To All the People who Said I would Kill Colin (My Venus fly trap). You were wrong :D

Look, he's growing THREE new heads! He even caught a woodlouse by himself the other day. I keep him practically drowned in distilled water, and he always basks in the sunlight (though we're having a rainy morning right now haha)

Although some comments were initially quite harsh, I did take the advice on board hahah. The red on the insides of the heads are a LOT brighter and take up a bigger area than when I bought him. So I must be doing something right!!

I'm so proud of my son",Humor/Fluff,
"First Time Here. Decided to share my current obsession. Selaginella AKA Peacock moss. I’ve had this for a while, and given this is my first post, I want everyone else to appreciate how cool it is. These pictures were from when I was deciding if I was going to get it or not. It still looks so good.",Humor/Fluff,
"How close does my golden pothos need to be to the sun? I just measured mine at about 93,000,000 miles away. Is that too far?",Humor/Fluff,Could be Discussion from the question
Can't u see _ this Begonia has more dots....,Humor/Fluff,
"5 years of growth! For as long as I can remember my mother has been the OG plant mom, I grew up in the inner city and my mom had well into 270-300 individual plants growing in all corners of our home by the time I left. The disease was passed on to me unfortunately. But this her beloved Frank. Bought September 20th 2021 as a young 10in fiddle leaf fig, he has been topped only once at around 10 feet tall. Today is Frank’s fifth birthday and my mother is so proud; he stands at about 12ish feet today, he lives outside all summer and inside all winter. Happy birthday Frank!",Humor/Fluff,Could be Progress Pics as it sounds like progress
Life.. finds a way. My bf’s severely neglected zebra plant he hasn’t watered in a year. He’s a grandpa now,Humor/Fluff,
"Baby Costa Rican pitahaya throughout the year. Today is September 20! This is when Spikey (my pitahaya/dragonfruit) first sprouted along with a few other tiny seeds from a pink fleshed dragonfruit (I was struggling with my homework at the time). Spikey grew from a damp paper towel in a plastic bag, except he grew under the sun by the windowsill, not inside a cabinet. Spikey didn't have a cactus yet, he was just this baby thing with two cotyledon leaves, they would open and eventually grow a tiny cactus.

Back in October-November I did remember he was still VERY tiny, but he grew into this blue pot that was way larger than him, when suddenly I dropped him off the shelf to see all the dirt spill everywhere, but lucky for this tiny baby, he survived, and thinking it would be better if he grew in a way smaller pot. And eventually, Spikey grew faster throughout November-January :)

But Spikey got very long, he wasn't the same tiny baby cactus... he grew very tall during the World Cup.

So I never thought it would be a year until Spikey has lived? My cac is so lucky and I wonder how big he will start getting next year, maybe as two times bigger than he is today. Now as a one-year old, Spikey has lived up to his name, now hurting my fingers with those tiny spikes. Happy Birthday, Spikey! 🌵🏜️

(The Flying Dutchman was there for his birthday... my cactus was actually born a day after ""Talk Like A Pirate Day"" xD)",Humor/Fluff,Could be Progress Pics as images show progression
I love african violets. It is pleasantly so symmetrical i love it.,Humor/Fluff,"Could be Discussion, just talking about a plant"
"My bird’s nest snake plant is pushing out a baby!!! I just noticed this, and I’m so so excited! I can’t wait to see her grow :) I’ve loved this snake plant because she’s so easy to care for and one of my very first plants, nearly two years ago. I’m so proud of her.
Should I repot the baby at some point — when it’s bigger and more stable? This pot isn’t very big.",Humor/Fluff,
Time to go back inside for the winter,Humor/Fluff,
What's your favorite leaf right now? Big or small. I want to see. I know we all get obsessed occasionally with a perfect leaf or plant. Which one are you admiring and taking pictures of like a runway model? My recent one is below. The first of two glow up leaves of a manjula on a moss poll. Came out looking hand painted. But nature did it! 😍,Humor/Fluff,"Could be Discussion or Progress Pics, showing off different plants"
Still small and few plants. Beginner plant mom.,Humor/Fluff,
"My moms monstera. my moms beloved monstera.. how long until she wakes up one morning and finds this on the ground?? i’ve told her multiple times she needs to take it off the stand, put it against a wall and add something other than the 1 wooden stick, but she won’t listen “because it likes where it is” yeah until it falls over 🥲 I give it another 2 weeks, it leans over more and more every day",Humor/Fluff,
She THICC🌿😂. I swear my Lemon Lime Maranta gets wider every time I look at her… not that I’m complaining😂,Humor/Fluff,
Hans.... ... Get ze flammenwerfer,Humor/Fluff,Imagery and title are too generic to pinpoint if the user label is relevant
Check out this horror show 😂. Open to critique/shame/advice. It’s alive…sort of 🤷‍♀️,Humor/Fluff,
"Holy Swiss Cheese, Batman! I’ve always seen posts about how “that monstera is more than one plant” and so on, and so forth, but y’all. 👀

I inherited a Swiss Cheese the other day that was looking kinda crowded and decided to repot and check out the situation, and WOW.

Ten. TEN viable rooted cuttings, in one pot from Gods know where. There were a few that weren’t in so great of shape, so they went to a farm upstate…

Anybody need a Swiss Cheese??? 😂😂😂",Humor/Fluff,
"This is my potted mint, and I love her, she is growing I uncontrollably. For reference, the window is 20in.",Humor/Fluff,Could be Progress Pics as image shows progression
Tis the season. English Ivy and String of pearls are said to be the scariest of plants 😂,Humor/Fluff,
My Nerve Plant is so dramatic. It was inside for a while and I moved it into my mudroom for a few days. It did NOT like the heat. It perked back up just a few joe hours after being watered,Humor/Fluff,
"Finally.... something..... I bought a few snake plants from a plant lady here on Oahu, nice auntie threw in this whale fin, 6 months of zero action, nothing, no growth, no goodmorning, no, how was work.... but today I notice a pup sprouting out, not sure how it will look or what will happen next, just happy to see growth.",Humor/Fluff,
My green space 💚,Humor/Fluff,
Happy Thanksgiving!!! Anybody else have holiday cacti getting a head start?,Humor/Fluff,
"My favorite neglect tracker, Hoya compacta",Humor/Fluff,
AIR PLANT BABY! I just noticed my air plant is having a baby!!! It’s sooo cute!,Humor/Fluff,
We call this the Beetlejuice plant 🪴,Humor/Fluff,
"I think she knew she was about to be headed for the trash when she did this. My monstera standleyana albo has hated me since day 1. Leaves always curling, poor variegation, naked vines, literally giving me her worst for 2 years despite getting princess treatment.
Well I finally decided enough is enough, old man winter will take her this year, and threw her in a corner of my porch to live out her last summer.
LO AND BEHOLD a small, perfectly formed, yellow variegated leaf sprouting from the base. I’ve been watching it now for about a week while it hardens off and there is another new bright gold and green leaf appearing. Is it possible she’s sporting an aurea mutation for me?
Is this a sign our relationship is worth holding on to?
Am I just another sucker staying in a toxic relationship?
Idk guys. I think I’m going to keep her, but keep ignoring her and see what happens.",Humor/Fluff,
I didn’t even know these could do that?!?!? I nursed this little Chinese Evergreen back to life from one sad leaf. I’ve had it for years and it’s never bloomed. I noticed extra growth at the top of its stem this month but thought it was just doing its usual growing thing. Boy was I surprised when I got home from work today to see this gorgeous little bloom!,Humor/Fluff,Could be Discussion
"I’ve been wondering why my Dracaena was always leaning. I kept fixing it and it would be leaning again, mystery solved.",Humor/Fluff,
"I’m presuming this is a safe, cat-proof new home for Spidey. But we shall see. Marty ate and destroyed this thing twice now. It was my own fault but I think it’s safe here. I hope",Humor/Fluff,
This dude won’t stop staring at me. Sat down on the patio with a cup of coffee and noticed this guy sitting on the table next to me. He will not stop staring.,Humor/Fluff,
I’ll come back for you…. I saw this at a big box store today and I almost took it home but I don’t have succulent mix ready at home 😭 maybe next time,Humor/Fluff,
My friend showed off his new house to me. glad he found a new place for all his little green treasures,Humor/Fluff,
"One of my favorite plants. I thought “surely she cant push a leaf larger than this last one”, but I was wrong I guess! I do the bare minimum for this plant tbh.

Also ignore those yellow spots, I think there’s a fungal issue going on with the other leaves 😭",Humor/Fluff,"Could be Discussion, talking about plants"
"Do you name your plants? This is Victoria. Anyone else name their plants like theyre pets? If so, whats yours named?",Humor/Fluff,"Could be Discussion, sounds like genuine topic"
My first mealy boi🤠,Humor/Fluff,
"My variegated Peperomia caperata. I grew it from a single leaf I found on the floor of a supermarket. Recently, it started producing these beautiful white leaves.",Haul,
Crazy looking spider plant. I rescued her from the grocery store for $15. So excited to rehab her!,Haul,
Showing my plants!!!,Haul,
"My quest to turn my house into a jungle continues. From left to right monstera adansonii, silver pothos and heartleaf philodenron. Planning to make moss poles for these guys once they've settled in :)",Haul,
"How it's going vs how it started 🌿 6 weeks ago or so I bought a bunch of clippings for $10 from some random lady on Facebook. Yesterday they have all officially been potted and placed in their little hole with the grow light. The first four photos are from yesterday.

the fifth and sixth photo wer3 from earlyish August when I first got my clippings (and had no idea how to handle them lol)

Seventh photo was a couple weeks ago! Some were planted but most were water propagated

The last photos are my golden pothos sprouting their roots throughout the weeks, it was so neat to see!",Haul,"Could be Progress Pics, sounds like progression"
"Bathroom window plants. Plants names
Starting from left to right

Rhaphidophora tetrasperma
Marble pothos
Polka dot begonia
Asparagus fern
Philodendron micans
Philodendron heart leaf
Lemon lime maranta

(Edited to add plant names)",Haul,
New babies. Got a bunch of new babies growing!,Haul,
My first Coleus plant what a beauty 😍,Haul,
"What are the prettiest plants, and why are they aglaonemas?",Haul,
"My new happy corner 🫶. Of course it's not perfect, but I've been wanting to get a grow light for AGES for this corner and I'm really glad I finally did!! Just wanted something cheap and easy to supplement the coming months of Eternal Darkness 😂",Haul,
"I might have overpaid, but I finally found a decent-sized ficus moonshine! I've only had two plants on my wishlist, and I found them both at big box stores when I least expected it 😂 (first a lone Norfolk pine in April, after I couldn't find ANY anywhere at Christmas, and now this ficus!). I had to drive an hour away to a nursery last summer to get that cute little ficus, and the nursery didn't have large ones. I found the big ficus last night at a grocery store for $30. It was the only one there, stuff between ruby ficuses (that I definitely wouldn't have paid $30 for). I'm generally pretty cheap when it comes to buying plants because I don't want to pay a lot for something that might die lol, but i knew I'd probably never see another moonshine ficus like this in stores here. I really wanted a larger moonshine because my ficus plants grow so slowly. The little one (which I love) has grown a few centimeters in a year, and my other ficus plants (5+ years old) are only 1-2ft tall....which is fine, actually. I don't have room for trees and live in fear of my Norfolk pine having a growth spurt lol",Haul,
Can't get over these colors 💚. Sharing some plant beauty I saw at a plant expo!,Haul,
"I’ve been enjoying growing plants in water, so I couldn’t resist getting a new one. Feeling so happy! 🌱",Haul,
Anthurium King of Kings. Just wanted to share his new leaf 🥹,Haul,
"went to walmart. both of these planters were on clearance for just a couple bucks so i grabbed them. then i just so happened to find two plants on my wishlist that fit in them very well lol

the ZZ looked the healthiest amongst its peers and when i picked it up i saw it had the CUTEST lil mushroom friend so of course they had to come with me. the haworthia has some crispy ends but it was the only one left and i think its so cool how they look almost artificial!

just sharing the new babies, very excited about them :) if you have any tips for either one id love to hear them!!!",Haul,
My little plants in the backyard.,Haul,
I found this plant in the trash bin,Haul,
Love this plant! My sister just bought me this frydeck! I love it. Going to add to my collection of alocasias,Haul,
"Flamestar! Got this pretty big Goeppertia Flamestar (happy to be corrected!) today from Ikea for £15! Extra little birthday gift from my husband 😊

And she seems to be flowering (pic 3)!",Haul,
"Isn't she pretty?? Moonshine ficus! Welcoming this baby to my tiny new collection. I'm not sure how well she'll keep her variegation in the Scottish sun, but I'll buy a grow light soon. I have no clue how rare this type is, but was very excited by how pretty she was! Just wanted to brag a little.",Haul,
Monstera ‘Mint’ (Monstera deliciosa). Just got this today from my local nursery Logee's. Monstera Mint.,Haul,
"Bought a Birkin, got a Red Congo with it",Haul,
"New to the plant life but thanks to ADHD I can’t start small. It’s really cool to see the prayer plants actually fold up at night and open again. Also just recently took off the band around the rootball of the money tree so the braid isn’t as tight but it’s much healthier I think. I’m hooked. I started a month ago and almost everything is flowering regularly.

TL:DR I’m new to plants but I’m hooked!",Haul,
First bloom! Four months into owning my first spotted begonia - so proud that she’s this happy,Haul,
"Neighbor was throwing these out so I took them. They’re gorgeous and HUGE! There’s nothing wrong with them, they just replaced the ferns with mums in their giant outdoor planters lol",Haul,
"Just a plant fest haul! In case you can’t tell, if something is pink, purple, striped, or looks like a leopard- it’s coming home with me. Super excited about this giant tradescantia (in a 12” pot) and the carnivorous plants especially. Lots of pretty stuff today",Haul,
"My plant corner has escalated. Been a house plant owner since 2018, had to move and sell all my plants a year ago. Started from 0 in June this is where we are at today ! At what stage is this considered a disorder lol",Haul,
"Got a shelf for my spider plant and made some first purchases to fill the space! Went today and made some first purchases for my plant shelf I bought.

Neon Pothos

Marble Pothos

String of Pearls

String of Hearts

Jade

Also pictured is my spider plant I grew from a cutting.",Haul,
"Rescued this gorgeous. I feel so lucky 🥹!! Someone left this plant at my apartment’s trash room and I had to bring it home. I checked for pest around leaves and millie bugs. Found none.

Gave it good clean with alcohol, peppermint soap and neem oil. Going to keep this quarantine.

Do you think I should repot this ? Also any tips on fiddle leaf?",Haul,
"My new additions, they are so pretty",Haul,
"first plant ever in my own apt! moved into my own spot a couple months ago, never owned plants or was around them growing up.

i’ve been researching and went to a local nursery here in CA and fell in love with this guy. going to research all about him, the worker said it’s a fairly easy plant to care for.

now i need to find a spot for him, any stand recommendations or shelves i can start putting more!",Haul,
"Mom's Garden. Mom has always had a green thumb. She's unwell now, and her husband takes care of the plants when he can. The crown of thorns I ended the video on (and the desert rose cutting) are going home with me tomorrow. ❤️",Haul,
"Tragic Begonia Backstory. All plants are pretty. But these pretty pals also have lore as dark as their edges.

The one with metallic aqua rings is called Red Kiss, the second is a Jurassic Rex who together, apparently, found their way into the world through a story that sounds almost too strange to be true..

There was once a man who admired a woman with a beautiful garden. For years, he watched it grow and began building his own exotic collection of rare plants, hoping to someday catch her attention. He was platonically successful. What she didn't know was that he was collecting them for her.

Eventually, he confessed his feelings. But she didn't feel the same— she was married with children. Devastatingly heartbroken, he later died by suicide.

Afterward, his family discovered the reason behind his collection. Before selling the property, they dug up the rare plants he'd spent years cultivating and gave them to the woman, believing it was what he would have wanted.

She kept some, but couldn't keep them all, so she gave the majority to a friend who shared her love of plants. That friend has cared for them for years, propagating them and passing their offspring along to other plant lovers.

So these plants aren't just surviving.. they're still growing, still being propagated, and still making their way into new homes. And apparently, one of those descendants has now made its way into MY living room.

Naturally, I couldn't say no to a suicide plant. 😂💜

UPDATE: Apparently the seller may have gotten the IDs wrong! A commenter suggested their IDs, which I believe is more accurate. Apparently the plants aren't the rare varieties of Harmony's Fatal Attraction and Dragonsblood that I thought they were, but the backstory is still one hell of a story. 🙈",Haul,
"Day 3/30 meet my Frydek! My FB pick up a week ago!

I’m going into winter with this beautiful Frydek! You guys got any tips for me?
This plant was repoted last night, so let’s pray for her! 😂 I got four nice big leafs out of one plant, two more baby’s and 7 coms I also planted nine corms. Im so excited to see how many of them sprout!
If you have any Frydek winter care tips, please send them my way!",Haul,
"Walmart rehab! saw this poor little thing dying on the shelf and snagged it for $3 instead of $20. Only labeled as an Alocasia but exact species is unknown

my best guess is that it’s a bisma/platinum but being in such a state there is no way of knowing for certain until it grows larger

aftermath of repotting (and the massive pot it was in??) in 3rd pick and it’s new home in the last pic :))

wish us luck 🤣",Haul,
TJ finds 😉🥰. Got a wish list plant as well that calathea orbifolia,Haul,
Newly repotted,Haul,
"I'm so happy! I found a new greenhouse in MN and even though it is a drive to get there, their prices are amazing! I got this beautiful Tineke for $18.99!! I was beyond thrilled. I'm just super excited to add this to my collection :D I needed to show someone!",Haul,
"Botanical garden, local nursery, and Walmart finds. I told my auntie NO succulents, cacti, or euphorbia and that I wanted a regular houseplant. Ended up with no regular houseplants and all the stuff I said I wouldn’t get. I just can’t help it. I love euphorbias especially. Super happy with the finds!",Haul,
Second day of the succulent sale. https://ibb.co/album/0yNqBJ,Haul,
First day of the Michigan cactus and succulent society sale. https://ibb.co/album/RhrVrx,Haul,
"Gave in to temptation!😍. Finally secured a Philodendron Mican which has been on my wishlist for some time now.😝

I bought two of them for $20, but combined them into one pot and clipped some props to add into the pot for a fuller looking top.

The only thing I’m nervous about is the amount of shock it will go through but, I’m hoping to also buy a hanging planter to hang it by the window instead of having it on the table next to my aglaonema.😆",Haul,
Plant shelves 🌿. Just some IKEA’s Boaxel shelving system and good light ✨,Haul,
"my new philodendrons, white+pink princess☺️",Haul,
"Spring !!! It is spring hear in aus. plants i propagated last year are ready to re pot and bring inside. New additions are walking irises, spider pants and kangaroo ferns (at least i think that's what they are, open to correction) my new elephant ear (as seen in last post have grown alot) my older elephant ear is slowly getting back into shape after I poor choice of location previously that led it to loose all of its big growth.

no shoes this time, I am bearfoot and we don't give that away for free in this economy plus y'all had big big things to say about shoes inside last time.",Haul,
I finally found a ficus that has a butt. I call her baby thiccums,Haul,
"Possibly the best day of my life. My brother called me and said, “I think someone is giving away plants at the end of the neighborhood”. I threw on some flip flops and hopped in the car but tried not to get too excited.

IMAGINE MY SURPRISE WHEN I CAME UPON THIS BOUNTY 🥹

I only took 5 of them (there were even more that didn’t fit in the pic) and it still took 3 cars to get them back to my house. I hope the rest find good homes - someone had these for a long, long time.",Haul,
"My baby jungle! 🪴. Almost all of these started from propagations but a few I have plantnapped from my parents, who should not be trusted to keep anything alive and well. Plus I have a couple huge tradescantia at work :)",Haul,
Found this 10inch Alocasia Okinawa for only $20! Couldn't believe my eyes. It was next to several other plants that were much more expensive. Multiple baby plants sprouted all in the soil too.,Haul,
"Gifts from my retiring colleague who is downsizing her home!",Haul,
